id,LoanNr_ChkDgt,Name,City,State,Bank,BankState,ApprovalDate,ApprovalFY,NoEmp,NewExist,CreateJob,RetainedJob,FranchiseCode,UrbanRural,RevLineCr,LowDoc,DisbursementDate,DisbursementGross,BalanceGross,Accept
bd9d6267ec5,1523195006,"P-SCAPE LAND DESIGN, LLC",NORTHFIELD,OH,CITIZENS BANK NATL ASSOC,RI,1-Nov-05,2006,2,2.0,0,2,0,1,N,N,31-Dec-05,"$8,000.00 ",$0.00 ,1
9eebf6d8098,1326365010,The Fresh & Healthy Catering C,CANTON,OH,"FIRSTMERIT BANK, N.A.",OH,6-Jun-05,2005,2,2.0,1,2,1,1,N,N,31-Jul-05,"$166,000.00 ",$0.00 ,1
83806858500,6179584001,AARON MASON & HOWE LLC,SAWYERWOOD,OH,"PNC BANK, NATIONAL ASSOCIATION",OH,18-Mar-03,2003,2,2.0,4,2,1,2,Y,N,31-Mar-03,"$25,000.00 ",$0.00 ,1
a21ab9cb3af,8463493009,MID OHIO CAR WASH,COLUMBUS,OH,THE HUNTINGTON NATIONAL BANK,OH,28-Jun-95,1995,2,2.0,0,0,1,0,N,N,31-Jan-96,"$220,100.00 ",$0.00 ,1
883b5e5385e,3382225007,Bake N Brew LLC,Newark,OH,THE HUNTINGTON NATIONAL BANK,OH,16-Apr-09,2009,0,1.0,0,0,0,1,N,N,31-May-09,"$25,000.00 ",$0.00 ,0
b4f2ba323f6,4784794004,SUN-TERRIFIC TANNING,KETTERING,OH,"PNC BANK, NATIONAL ASSOCIATION",IN,7-Aug-01,2001,2,2.0,0,0,1,2,0,Y,30-Sep-01,"$124,000.00 ",$0.00 ,1
a947600ebb6,1705265004,"RDL ARCHITECTS, INC.",CLEVELAND,OH,CITIZENS BANK NATL ASSOC,RI,10-Mar-06,2006,11,1.0,4,15,0,1,Y,N,28-Feb-07,"$160,896.00 ",$0.00 ,1
4e488cc7bd5,3699304009,CORNWELL TOOLS,WOOSTER,OH,STEARNS BK NATL ASSOC,MN,18-Apr-00,2000,1,2.0,0,0,20359,2,0,Y,31-May-00,"$43,000.00 ",$0.00 ,1
1bb95a2ca77,9711393008,"MARINE DEVELOPMENT, LTD",HURON,OH,"PNC BANK, NATIONAL ASSOCIATION",DE,30-Oct-96,1997,7,1.0,0,0,1,0,0,N,30-Sep-97,"$75,000.00 ",$0.00 ,1
f7c38b310e2,6343423006,ZEPPE'S PIZZERIA FRANCHISE CO.,WILLOUGHBY HILLS,OH,NATL BK & TR CO,OH,14-Mar-94,1994,4,1.0,0,0,91283,0,N,N,30-Apr-94,"$75,000.00 ",$0.00 ,1
